name,price,resolutions,connection,focus_type,os,fov
Razer Kiyo Pro Ultra,299.99,"4k,2k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",82
Logitech BRIO Ultra HD Pro,127.49,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",82
Elgato Facecam Pro,299.99,"4k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",90
Logitech C920s HD Pro,54.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
OBSBOT Tiny 2,299,"4k,2k,1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",85.5
Anker PowerConf C200,47.99,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech C270,19.98,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
Logitech C920 HD Pro,66.73,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Insta360 Insta360 Link,178.99,"4k,1080p,720p",USB 2.0 Type-C,Auto,"Windows,OS X",79.5
Razer Kiyo,48.97,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows",81.6
Adesso Cybertrack H2,11.97,"480p",USB 2.0 Type-A,Fixed,"Windows,OS X",62
Adesso Cybertrack H4,19,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Razer Kiyo X,39.83,"1080p,720p",USB 2.0 Type-A,Auto,"Windows",82
Logitech C922 Pro Stream HD,79.99,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Green Extreme T200,14.99,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",65
Logitech BRIO STREAM,,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X,ChromeOS",90
Anker AnkerWork C310,99.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Adesso Cybertrack H6,59.99,"4k",USB 2.0 Type-A,Fixed,"Windows,OS X",80
Elgato FACECAM MK.2,129.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",84
Razer Kiyo Pro,103,"1080p,720p,480p",USB 3.2 Gen 1 Type-A,Auto,"Windows",103
OBSBOT Tiny 4K,239,"4k,1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows,OS X",90
Logitech StreamCam,139.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Asus Webcam C3,49.99,"1080p",USB 2.0 Type-A,,"Windows,OS X,ChromeOS",
NexiGo N660P,64.98,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
Logitech StreamCam,139.99,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",78
Elgato Facecam Premium,129.99,"1080p,720p",USB 3.2 Gen 1 Type-A,Manual,"Windows,OS X",82
Logitech C925e,70.59,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux",78
aoni A31,31.9,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Linux,ChromeOS,Android",84
OBSBOT MEET 2,,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Logitech StreamCam Plus,139.99,"1080p,720p,480p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",
Wansview 101JD,23.98,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
Logitech C930e,80.98,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",90
OBSBOT MEET 2,129,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
NexiGo N660P,68.98,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
Adesso Cybertrack H5,28.25,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",80
Asus ROG EYE,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",
Avermedia Live Streamer CAM 313,56.99,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X",
NexiGo N660P,64.98,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",
Creative Labs Live! Cam Sync 1080p,48,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",77
Avermedia PW513,149.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Fixed,"Windows,OS X",94
Logitech MX BRIO,199.99,"4k,1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows,ChromeOS",90
Wansview 106JD,22.99,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",60
Microsoft LifeCam HD-3000,39.99,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Avermedia PW310P,44.99,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS",73
Logitech B525,64.95,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",69
AUKEY PC-LM1,,"1080p,720p,480p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",55
Logitech C910,116.56,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",78
Green Extreme T1000,129,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X",120
Logitech C505,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Anker B600 Video Bar,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",95
VDO360 2SEE,29.95,"1080p,720p",USB 2.0 Type-A,,"Windows,OS X,Linux,Android",75
Adesso CyberTrack H3,28.49,"720p",USB 2.0 Type-A,Manual,"Windows,OS X",
Logitech C615 Portable,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",78
Logitech C310,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS,Android",60
Anker PowerConf C302,,"2k,1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Green Extreme T200 + Live Streaming Bundle,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Microsoft LifeCam Studio,95.98,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Avermedia PW315,74.98,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",95.8
OBSBOT MEET 2,129,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Microsoft Lifecam Cinema,96.45,"720p",USB 2.0 Type-A,Auto,"Windows",73
Logitech C505e,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Logitech C525,59.95,"720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",69
OBSBOT Tiny,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",86
Microsoft LifeCam HD-3000 L2,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Microsoft LifeCam CinemaaFor Business,127.99,"720p",USB 2.0 Type-A,Auto,"Windows,OS X",
Microsoft LifeCam Studio for Business,95.49,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Avermedia HD Webcam 310,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Wansview 105JD,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",90
Creative Labs BlasterX Senz3D,,"1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",77
Creative Labs Live! Cam Sync HD,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Avermedia 4K UHD Webcam 510,,"4k,1080p,720p,480p",USB 3.2 Gen 1 Type-C,,"Windows",85
Anker PowerConf C300,,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Green Extreme T300,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",94
Adesso Cybertrack H4P,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Wansview 102JD,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
